day, turns that would require alternating, correct turns of alternating turns, turns that don't require alternating, correct turns of non-alternating
2, 12, 4, 8, 1
4, 6, 2, 9, 2
6, 10, 9, 9, 1
8, 9, 6, 8, 4
10, 8, 6, 10, 6
12, 6, 5, 9, 6
15, 6, 4, 7, 6
17, 10, 10, 6, 5

day, averages
1, 30.1
2, 27.3
3, 0
4, 60
5, 33.3
6, 64.3
7, 60
8, 60
9, 69.2
10, 58.3
11, 69.2
12, 66.7
13, 80
14, 57.1
15, 75
16, 100
17, 88.9
