day, turns that would require alternating, correct turns of alternating turns, turns that don't require alternating, correct turns of non-alternating
1, 4, 2, 7, 1
2, 8, 2, 1, 0
3, 3, 0, 4, 0
4, 3, 2, 5, 2
5, 3, 2, 4, 1
6, 7, 7, 5, 0
7, 8, 6, 5, 2
8, 1, 0, 3, 2
9, 5, 4, 3, 3
10, 3, 2, 7, 3
11, 4, 3, 6, 5
12, 2, 2, 3, 1
13, 2, 1, 2, 2
14, 3, 2, 3, 2
15, 1, 1, 2, 2
16, 5, 5, 3, 3
17, 5, 5, 3, 2
