trial, number right turns expected, number right turns taken, total turns
1, 3, 4, 6
2, 3, 8, 8
3, 4, 5, 7
4, 1, 4, 4
5, 3, 3, 6
6, 1, 2, 3
7, 4, 6, 6
8, 1, 1, 4
9, 3, 4, 6
10, 2, 2, 3
