trial, average
1, 37.5
2, 50
3, 44.4
4, 33.3
5, 50
6, 50
7, 42.8
8, 83.3
9, 0
10, 62.5
11, 50
12, 22.2
13, 25
14, 60
15, 60
16, 50
17, 85.7
18, 66.7
19, 57.14
20, 44.4
21, 25
22, 57.1
23, 57.1
24, 66.67
25, 78.6
26, 80
27, 73.3

2, 44.4
4, 40
6, 50
8, 61.5
10, 35.7
12, 35.3
14, 44.4
15, 60
17, 72.7
19, 62.5
21, 38.5
22, 57.1
23, 57.1
24, 66.67
25, 78.6
26, 80
27, 73.3
