trial, number left turns expected, number left turns taken, total turns
1, 5, 4, 8
2, 4, 7, 10
3, 5, 6, 9
4, 2, 4, 6
5, 3, 2, 6
6, 3, 4, 6
7, 2, 6, 7
8, 4, 4, 6
9, 3, 4, 6
10, 4, 6, 8
